1,101,1/1/2023,Placed,109,BPuLAGU1FVBvDB8uE1l0z8dR3w==,1_101_2024-02-20 21:05:36.91,
2,102,1/2/2023,Cancelled,210,ca37VnzMLB2U67JKjriSqLARSw==,2_102_2024-02-20 21:05:36.932,
3,101,1/3/2023,Placed,649,VXQVRXYVmLGnzl_BuYkFWtb_AA==,3_101_2024-02-20 21:05:36.946,
4,103,1/4/2023,Placed,1678,FPMeJK5GAoVTK2nA8L1jiPPgIQ==,4_103_2024-02-20 21:05:36.965,
5,102,1/5/2023,Placed,701,Qu7efwUGNMyKMLuZE2JeXB-A_g==,5_102_2024-02-20 21:05:36.979,
6,102,1/6/2023,Placed,250,LrlJZfENDnJXHjgh9M1PNKBkkw==,6_102_2024-02-20 21:05:36.993,
7,103,1/7/2023,Placed,188,RjGcc29yYSu2wc3qgjfVdHk6pQ==,7_103_2024-02-20 21:05:37.009,
8,104,1/8/2023,Placed,976,voJx-BoEFy2tBowyB5Vg40no9Q==,8_104_2024-02-20 21:05:37.026,
9,107,1/9/2023,Placed,143,EXVHb61GCmD8FeASVOm-Hz7UWQ==,9_107_2024-02-20 21:05:37.039,
10,106,1/10/2023,Placed,1234,eX38syftHHd2BVGr2Q9GIC4FIw==,10_106_2024-02-20 21:05:37.055,
11,103,1/11/2023,Cancelled,1563,yeT9BlhAQC1IVj4LWMOgym5huA==,11_103_2024-02-20 21:05:37.199,
12,101,1/12/2023,Placed,1982,LRYxMxpdTn59N-zbVSFWq_Xbxg==,12_101_2024-02-20 21:05:37.213,
13,102,1/13/2023,Cancelled,1099,dXy9zsPikpWMSz12-WnnrMhoXQ==,13_102_2024-02-20 21:05:37.229,
14,104,1/14/2023,Placed,1876,_XfNRfSu6TQzYt0W9cKxjrnocA==,14_104_2024-02-20 21:05:37.248,
15,105,1/15/2023,Cancelled,1459,1DUsjLXltUO_K4JamGnZ_AWg1g==,15_105_2024-02-20 21:05:37.259,
