11,103,1/11/2023,Cancelled,1563,PsGCbaomqBlKvK-0utw9xZyF_g==,11_103_2024-02-20 21:05:37.648,
12,101,1/12/2023,Placed,1982,oJWp-7Ins5kgpxxIQCYTyockPw==,12_101_2024-02-20 21:05:37.667,
13,102,1/13/2023,Cancelled,1099,r4PHa_oz8YYgvQ7PmQAEAwnv2Q==,13_102_2024-02-20 21:05:37.681,
14,104,1/14/2023,Placed,1876,XHWvE4q9dQ_Z4hxRhQbtF_CUjA==,14_104_2024-02-20 21:05:37.695,
15,105,1/15/2023,Cancelled,1459,guS_NG9EG5WKIVBFjp43bItfLw==,15_105_2024-02-20 21:05:37.711,
1,101,1/1/2023,Placed,109,IBBHQ-dtCD1EyCw5CsNlqkKtVQ==,1_101_2024-02-20 21:05:37.6,
2,102,1/2/2023,Cancelled,210,z0tsrXm_CImcYNyiUbSYCs4tEw==,2_102_2024-02-20 21:05:37.616,
3,101,1/3/2023,Placed,649,WLQeAcAzcl3JynzfOuIqc8Itrw==,3_101_2024-02-20 21:05:37.632,
4,103,1/4/2023,Placed,1678,HDwqcljBZ-EO9UsAb3gg2Q747g==,4_103_2024-02-20 21:05:37.648,
5,102,1/5/2023,Placed,701,qz3gr7stRwOb7w6cXcEsi4aDZw==,5_102_2024-02-20 21:05:37.667,
6,102,1/6/2023,Placed,250,GM17TD8OPA7L9FScagIr088ycg==,6_102_2024-02-20 21:05:37.681,
7,103,1/7/2023,Placed,188,IAaOGDbZQOhoSza7XNNZ6nVNPw==,7_103_2024-02-20 21:05:37.695,
8,104,1/8/2023,Placed,976,yWUt4n1_BV5ScReVPTqwJc1JqA==,8_104_2024-02-20 21:05:37.711,
9,107,1/9/2023,Placed,143,ncgnSrRqyO4vAW0EVfg1zHQ_sg==,9_107_2024-02-20 21:05:37.726,
10,106,1/10/2023,Placed,1234,nggC2WaReDm5NpXkTAFzXnChDg==,10_106_2024-02-20 21:05:37.743,
