1,101,1/1/2023,Placed,109,nMVjOULQxgfljtH1g0U48_--gg==,1_101_2024-02-20 21:05:37.308,
4,103,1/4/2023,Placed,1678,6zwDUOapjq1vpgI2th24PH4H7w==,4_103_2024-02-20 21:05:37.323,
7,103,1/7/2023,Placed,188,4oZKwf_lUwb8G-Vzl9A3dwrsvA==,7_103_2024-02-20 21:05:37.337,
9,107,1/9/2023,Placed,143,q3fpgwWqGAh0fGy_eGL8TByMtQ==,9_107_2024-02-20 21:05:37.367,
10,106,1/10/2023,Placed,1234,IrckQA1D0YR6QH2XhrjjewpTUA==,10_106_2024-02-20 21:05:37.384,
12,101,1/12/2023,Placed,1982,tuEhD5kBkUz-sm0dMPqt5-7V7A==,12_101_2024-02-20 21:05:37.401,
2,102,1/2/2023,Cancelled,210,Ql9-_EOQRP2q_30yAlxIoIYQ0Q==,2_102_2024-02-20 21:05:37.308,
15,105,1/15/2023,Cancelled,1459,tmyUmo9L1y6QQ8Q3cgLcoxqTSg==,15_105_2024-02-20 21:05:37.416,
3,101,1/3/2023,Placed,649,0rTo_3PltsDZWCAEi0xF-IWsmA==,3_101_2024-02-20 21:05:37.323,
5,102,1/5/2023,Placed,701,ANeKf7JxKZXIR9WgW2fgVyS6Vw==,5_102_2024-02-20 21:05:37.337,
6,102,1/6/2023,Placed,250,-B2PbhsXgy3QZIyXRIs51RmO5A==,6_102_2024-02-20 21:05:37.367,
8,104,1/8/2023,Placed,976,iKGmZay9YmJvvrlMPGkJBvejPg==,8_104_2024-02-20 21:05:37.384,
11,103,1/11/2023,Cancelled,1563,Kam3S19ZIIT8NBNyCVAAnnFVFg==,11_103_2024-02-20 21:05:37.401,
13,102,1/13/2023,Cancelled,1099,pPRAsQAn0FMKE7jHBjmouKfXlQ==,13_102_2024-02-20 21:05:37.416,
14,104,1/14/2023,Placed,1876,Dk5fMzZSe5xBDMXJXFP9DcCzhw==,14_104_2024-02-20 21:05:37.432,
